Line No,Source,Address,Source_1,Warp Stall Sampling (All Samples),Warp Stall Sampling (Not-issued Samples),# Samples,Instructions Executed,Thread Instructions Executed,Predicated-On Thread Instructions Executed,Avg. Threads Executed,Avg. Predicated-On Threads Executed,Address Space,Access Operation,Access Size,L1 Tag Requests Global,L1 Conflicts Shared N-Way,L1 Wavefronts Shared Excessive,L1 Wavefronts Shared,L1 Wavefronts Shared Ideal,L2 Theoretical Sectors Global Excessive,L2 Theoretical Sectors Global,L2 Theoretical Sectors Global Ideal,L2 Theoretical Sectors Local,L2 Explicit Evict Policies,L2 Explicit Hit Policy Evict First,L2 Explicit Hit Policy Evict Last,L2 Explicit Hit Policy Evict Normal,L2 Explicit Hit Policy Evict Normal Demote,L2 Explicit Miss Policy Evict First,L2 Explicit Miss Policy Evict Normal,stall_barrier,stall_branch_resolving,stall_dispatch,stall_drain,stall_imc,stall_lg,stall_long_sb,stall_math,stall_membar,stall_mio,stall_misc,stall_no_inst,stall_not_selected,stall_selected,stall_short_sb,stall_sleep,stall_tex,stall_wait,stall_barrier (Not Issued),stall_branch_resolving (Not Issued),stall_dispatch (Not Issued),stall_drain (Not Issued),stall_imc (Not Issued),stall_lg (Not Issued),stall_long_sb (Not Issued),stall_math (Not Issued),stall_membar (Not Issued),stall_mio (Not Issued),stall_misc (Not Issued),stall_no_inst (Not Issued),stall_not_selected (Not Issued),stall_selected (Not Issued),stall_short_sb (Not Issued),stall_sleeping (Not Issued),stall_tex (Not Issued),stall_wait (Not Issued),Kernel_Name,VR_dispatch_id,Divergent Branches,Reason,stall_barrier_ratio,stall_branch_resolving_ratio,stall_dispatch_ratio,stall_drain_ratio,stall_imc_ratio,stall_lg_ratio,stall_long_sb_ratio,stall_math_ratio,stall_membar_ratio,stall_mio_ratio,stall_misc_ratio,stall_no_inst_ratio,stall_not_selected_ratio,stall_selected_ratio,stall_short_sb_ratio,stall_sleep_ratio,stall_tex_ratio,stall_wait_ratio
131,},-,-,37512,21477,37512,4194304,134217728,134217728,128,128,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,411,0,234,0,0,9,0,33317,94,925,0,156,123,0,0,0,2243,0,198,0,122,0,0,8,0,19315,47,680,0,0,0,0,0,0,1107,"void init_kernel<double>(T1 *, T1 *, T1 *, T1, T1, T1)",1,0,stall_membar,0.0,0.010956493921944978,0.0,0.006238003838771593,0.0,0.0,0.0002399232245681382,0.0,0.8881691192151845,0.002505864789933888,0.02465877585839198,0.0,0.004158669225847729,0.0032789507357645553,0.0,0.0,0.0,0.05979419918959266
130,c[i] = initC;,-,-,6747,3298,6747,17825792,570425344,570425344,544,544,Global,Store,64,2097152,0,0,0,0,0,8388608,8388608,0,,0,0,0,0,0,0,0,0,0,0,0,0,97,380,0,0,0,0,146,403,0,0,0,5721,0,0,0,0,0,0,53,363,0,0,0,0,0,0,0,0,0,2882,"void init_kernel<double>(T1 *, T1 *, T1 *, T1, T1, T1)",1,0,stall_wait,0.0,0.0,0.0,0.0,0.0,0.0,0.014376760041499926,0.056321327997628574,0.0,0.0,0.0,0.0,0.021639247072773083,0.05973025048169557,0.0,0.0,0.0,0.8479324144064029
129,b[i] = initB;,-,-,4382,2119,4382,17825792,570425344,570425344,544,544,Global,Store,64,2097152,0,0,0,0,0,8388608,8388608,0,,0,0,0,0,0,0,0,0,0,0,0,0,91,203,0,0,0,0,100,254,0,0,0,3734,0,0,0,0,0,0,56,193,0,0,0,0,0,0,0,0,0,1870,"void init_kernel<double>(T1 *, T1 *, T1 *, T1, T1, T1)",1,0,stall_wait,0.0,0.0,0.0,0.0,0.0,0.0,0.020766773162939296,0.0463258785942492,0.0,0.0,0.0,0.0,0.022820629849383843,0.05796439981743496,0.0,0.0,0.0,0.8521223185759927
128,a[i] = initA;,-,-,3158,1570,3158,16777216,536870912,536870912,512,512,Global,Store,64,2097152,0,0,0,0,0,8388608,8388608,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,30,194,0,0,0,2784,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,1420,"void init_kernel<double>(T1 *, T1 *, T1 *, T1, T1, T1)",1,0,stall_wait,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04749841671944269,0.0,0.0,0.0,0.0,0.009499683343888538,0.06143128562381254,0.0,0.0,0.0,0.8815706143128562
127,const int i = blockDim.x * blockIdx.x + threadIdx.x;,-,-,1886,1131,1886,9437184,301989888,301989888,288,288,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,5,0,0,7,109,465,0,0,1276,0,0,0,0,0,0,0,22,0,4,0,0,0,0,310,0,0,795,"void init_kernel<double>(T1 *, T1 *, T1 *, T1, T1, T1)",1,0,stall_wait,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012725344644750796,0.0,0.002651113467656416,0.0,0.0,0.003711558854718982,0.057794273594909865,0.24655355249204666,0.0,0.0,0.6765641569459173
125,"__global__ void init_kernel(T * a, T * b, T * c, T initA, T initB, T initC)",-,-,7538,4336,7538,46137344,1476395008,1476395008,1408,1408,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,269,0,65,0,75,163,336,1644,0,0,4986,0,0,0,0,0,0,0,257,0,54,0,51,0,0,1036,0,0,2938,"void init_kernel<double>(T1 *, T1 *, T1 *, T1, T1, T1)",1,0,stall_wait,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035685858317856194,0.0,0.008622976916954099,0.0,0.009949588750331653,0.021623772884054124,0.0445741576014858,0.21809498540726982,0.0,0.0,0.6614486601220483
170,},-,-,29870,21592,29870,4194304,134217728,134217728,128,128,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,467,0,271,0,0,0,0,25775,84,329,0,137,132,0,0,0,2675,0,400,0,243,0,0,0,0,18730,69,230,0,0,0,0,0,0,1920,"void copy_kernel<double>(const T1 *, T1 *)",2,0,stall_membar,0.0,0.015634415801807834,0.0,0.009072648141948443,0.0,0.0,0.0,0.0,0.8629059256779378,0.002812186139939739,0.011014395714763977,0.0,0.004586541680616002,0.004419149648476732,0.0,0.0,0.0,0.08955473719450954
169,c[i] = a[i];,-,-,21414,16368,21414,33554432,1073741824,1073741824,1024,1024,Global(2),"Load,Store",64(2),4194304,0,0,0,0,0,16777216,16777216,0,,0,0,0,0,0,0,0,0,0,0,0,0,13246,334,0,0,0,0,134,487,0,0,0,7213,0,0,0,0,0,0,11511,328,0,0,0,0,0,0,0,0,0,4529,"void copy_kernel<double>(const T1 *, T1 *)",2,0,stall_long_sb,0.0,0.0,0.0,0.0,0.0,0.0,0.618567292425516,0.015597272812178948,0.0,0.0,0.0,0.0,0.006257588493508919,0.02274213131596152,0.0,0.0,0.0,0.3368357149528346
168,const int i = blockDim.x * blockIdx.x + threadIdx.x;,-,-,1707,952,1707,9437184,301989888,301989888,288,288,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,4,0,0,30,69,429,0,0,1150,0,0,0,0,0,0,0,23,0,4,0,0,0,0,269,0,0,656,"void copy_kernel<double>(const T1 *, T1 *)",2,0,stall_wait,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014645577035735208,0.0,0.0023432923257176333,0.0,0.0,0.01757469244288225,0.040421792618629174,0.2513181019332162,0.0,0.0,0.6736965436438196
166,"__global__ void copy_kernel(const T * a, T * c)",-,-,4719,2731,4719,18874368,603979776,603979776,576,576,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,307,0,49,0,61,235,187,1353,0,0,2527,0,0,0,0,0,0,0,289,0,43,0,53,0,0,891,0,0,1455,"void copy_kernel<double>(const T1 *, T1 *)",2,0,stall_wait,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06505615596524687,0.0,0.010383555838101292,0.0,0.012926467471922018,0.049798686162322525,0.039627039627039624,0.2867132867132867,0.0,0.0,0.535494808222081
